	Name	Address	Phone	Longitude	Latitude
0	SMETANA	gorod Moskva, ulitsa Egora Abakumova, dom 9	(499) 183-14-10	37.71456500043604	55.879001531303366
1	Rodnik	gorod Moskva, ulitsa Talalihina, dom 2/1, korpus 1	(495) 676-55-35	37.6733061300344	55.7382386551547
2	Kafe «Akademija»	gorod Moskva, Abel'manovskaja ulitsa, dom 6	(495) 662-30-10	37.6696475969381	55.7355114718314
3	Cotto Ital'janskaja Kofejnja	gorod Moskva, Abramtsevskaja ulitsa, dom 9, korpus 1	(499) 200-00-22	37.57230613167112	55.90408636984904
4	GBOU «Shkola № 1430 imeni Geroja Sotsialisticheskogo Truda G.V. Kisun'ko» Shkola № 1051	gorod Moskva, Uglichskaja ulitsa, dom 17	(499) 908-06-15	37.56694	55.90401880066921
5	Brusnika	gorod Moskva, pereulok Sivtsev Vrazhek, dom 6/2	(495) 697-04-89	37.59812754843999	55.747390490526
6	Bufet MTUSI	gorod Moskva, Aviamotornaja ulitsa, dom 8, stroenie 1	(495) 673-89-78	37.71542539189804	55.75516375097069
7	Stolovaja MTUSI	gorod Moskva, Aviamotornaja ulitsa, dom 8, stroenie 1	(495) 273-89-78	37.71542539189804	55.75516375097069
8	Kafe Gogieli	gorod Moskva, Aviamotornaja ulitsa, dom 49/1	(495) 361-38-50	37.71995037885907	55.749275989276555
9	ShKOLA 735	gorod Moskva, Aviamotornaja ulitsa, dom 51	(495) 273-21-06	37.72098869657803	55.746325696672486
10	Allo Pitstsa	gorod Moskva, ulitsa Aviatorov, dom 14	(495) 934-31-00	37.53328086209287	55.51401055012196
11	Gimnazija 1542	gorod Moskva, ulitsa Aviatorov, dom 16	(495) 934-87-32	37.533839182416486	55.51361335283005
12	Shkola 1011	gorod Moskva, ulitsa Aviatorov, dom 18	(495) 934-12-35	37.53468973514791	55.51344189360385
13	Doner Kebab	gorod Moskva, Azovskaja ulitsa, dom 4	(495) 310-02-20	37.60208371306162	55.66040245956391
14	Tanuki	gorod Moskva, Bol'shaja Akademicheskaja ulitsa, dom 65	(499) 153-81-44	37.54761	55.840266
15	Amerikanskaja Laboratorija Desertov	gorod Moskva, Filippovskij pereulok, dom 15/5	(985) 226-02-38	37.598353618148295	55.750590675832086
16	Bar	gorod Moskva, Altajskaja ulitsa, dom 33/7	(495) 466-19-29	37.8316832687996	55.820792834222495
17	KAFE UJuT	gorod Moskva, Altuf'evskoe shosse, dom 14	(926) 077-34-51	37.585832175270156	55.85575028944077
18	Dolina Chajhona	gorod Moskva, Altuf'evskoe shosse, dom 14	(926) 077-34-51	37.585826578714894	55.8556644498222
19	GBOU Shkola № 1411 (970)	gorod Moskva, Altuf'evskoe shosse, dom 42B	(499) 903-55-08	37.589045000000006	55.872932791537956
20	Kafeterij	gorod Moskva, Altuf'evskoe shosse, dom 56	(495) 707-04-39	37.58783336201571	55.880805280152074
21	RAHIMKULOVA T.H.	gorod Moskva, Altuf'evskoe shosse, dom 102B	(499) 908-11-65	37.59132052872169	55.90406171774881
22	STOLOVAJa PRI GUP OB'EDINENNYJ KOMBINAT ShKOL'NOGO PITANIJa	gorod Moskva, ulitsa Amundsena, dom 10	(499) 189-38-39	37.657212875944	55.8530419802775
23	ShKOLA 1444	gorod Moskva, Anadyrskij proezd, dom 55	(495) 474-73-33	37.704196	55.879103
24	Marhal	gorod Moskva, Angarskaja ulitsa, dom 1, korpus 2	(499) 906-00-59	37.50979918389434	55.87179217383281
25	Gotika	gorod Moskva, Angarskaja ulitsa, dom 39	(495) 483-11-50	37.524521570801696	55.879112362577104
26	Gimnazija № 1527	gorod Moskva, prospekt Andropova, dom 17, korpus 2	(499) 618-55-63	37.66820550994687	55.68319929578544
27	Kafe «Hinkal'naja»	gorod Moskva, prospekt Andropova, dom 26	(499) 612-60-09	37.6630949603141	55.68051266827809
28	Sushi Wok	gorod Moskva, prospekt Andropova, dom 30	(499) 754-44-44	37.662706040007905	55.6788166451702
29	Ryba i mjaso na ugljah	gorod Moskva, prospekt Andropova, dom 35A	(499) 612-82-69	37.66626689310591	55.67396575768212
30	Klarom	gorod Moskva, prospekt Andropova, dom 38, korpus 2	(499) 612-05-81	37.65961950402761	55.6744891449848
31	Mesopotamija	gorod Moskva, ulitsa Arbat, dom 4, stroenie 1	(495) 913-32-12	37.59845548770145	55.75201590992224
32	Mu-Mu	gorod Moskva, ulitsa Arbat, dom 4, stroenie 1	(499) 241-13-64	37.5990156320594	55.752164264713706
33	Hleb nasuschnyj	gorod Moskva, ulitsa Arbat, dom 6/2	(495) 984-91-82	37.59749306086501	55.75171555227066
34	TAJJ MAHAL	gorod Moskva, ulitsa Arbat, dom 6/2	(495) 107-91-06	37.597569559758966	55.75202381407097
35	Kalifornija Dajner	gorod Moskva, ulitsa Arbat, dom 23, stroenie 1	(925) 766-88-21	37.59533357004987	55.750427507670985
36	Balalaechnaja	gorod Moskva, ulitsa Arbat, dom 23, stroenie 1	(905) 752-88-62	37.59533357004987	55.750427507670985
37	Varenichnaja №1	gorod Moskva, ulitsa Arbat, dom 29	(499) 241-12-11	37.59294714794591	55.7497161051646
38	ShOKOLADNITsA	gorod Moskva, ulitsa Arbat, dom 29	(499) 241-06-20	37.593548890650894	55.749874714724086
39	IL Pizzaiolo	gorod Moskva, ulitsa Arbat, dom 31	(495) 933-28-34	37.59279877035469	55.749653840749914
40	Teremok	gorod Moskva, ulitsa Arbat, dom 32	(495) 916-00-24	37.589553868570846	55.74914410606775
41	Erik Ryzhij	gorod Moskva, ulitsa Arbat, dom 36/2, stroenie 1	(499) 505-18-33	37.5888682527611	55.74883711556409
42	Hinkal'naja	gorod Moskva, ulitsa Arbat, dom 36/2, stroenie 1	(916) 500-47-40	37.58885493178318	55.74882523170413
43	VOSTOChNYJ KVARTAL	gorod Moskva, ulitsa Arbat, dom 45/24	(495) 241-38-03	37.5881406293922	55.748109888093296
44	POChTMEJSTER	gorod Moskva, ulitsa Arbat, dom 47/23	(499) 241-17-74	37.58755925940361	55.74799700957472
45	BOSFOR	gorod Moskva, ulitsa Arbat, dom 47/23	(499) 241-93-20	37.58755925940361	55.74799700957472
46	Master	gorod Moskva, ulitsa Artamonova, dom 7	(495) 445-37-51	37.459335892551046	55.71909258788646
47	Shantimel'	gorod Moskva, Astrahanskij pereulok, dom 1/15	(495) 772-17-32	37.639911421197276	55.777448144095466
